B(T),H(A/m)
0,0
0.129773333,8
0.258186667,16
0.38388,24
0.505493333,32
0.621666667,40
0.73124,48.052
0.833853333,56.416
0.929346667,65.404
1.01756,75.328
1.098333333,86.5
1.171826667,100.8506667
1.23948,126.7853333
1.303053333,174.328
1.364306667,253.5026667
1.425,374.3333333
1.486306667,548.7653333
1.547053333,796.4293333
1.60548,1138.877333
1.659826667,1597.661333
1.708333333,2194.333333
1.749786667,2946.434667
1.78516,3855.464
1.815973333,4918.909333
1.843746667,6134.258667
1.87,7499
1.896,9024.916
1.922,10780.968
1.948,12850.412
1.974,15316.504
2,18262.5
2.02596,21763.28933
2.05168,25860.29467
2.07692,30586.572
2.10144,35975.17733
2.125,42059.16667
2.14744,48870.37067
2.16892,56435.71867
2.18968,64780.91467
2.20996,73931.66267
2.23,83913.66667
2.250173333,94869.756
2.271386667,107411.2613
2.29468,122266.6387
2.321093333,140164.344
2.351666667,161832.8333
2.38684,187537.988
2.424653333,215695.3907
2.462546667,244258.0493
2.497960001,271178.972
2.528333336,294411.1667
2.552746671,313203.9413
2.576840009,331991.804
2.607893351,356505.5627
2.6531867,392476.0253
2.720000057,445634
2.813440091,519991.216
2.929920132,612683.088
3.06368018,719125.952
3.208960232,834736.144
3.360000286,954930
4,1464225.59
17.84000015,12477747.77
47.84000014,36350989.23
97.84000014,76139725
1000,794055842.2
10000,7956028281
100000,79575752673
